#Supplementary Table 6. All ENCODE profiles informations.				
Accession	Cell type / Tissue	Feature	Treatment	Download link
ENCFF480AIG	right kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF480AIG/@@download/ENCFF480AIG.bed.gz
ENCFF128OCR	thoracic segment muscle	DNase-seq	None	https://www.encodeproject.org/files/ENCFF128OCR/@@download/ENCFF128OCR.bed.gz
ENCFF136QTV	IMR-90	DNase-seq	None	https://www.encodeproject.org/files/ENCFF136QTV/@@download/ENCFF136QTV.bed.gz
ENCFF077NBT	large intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF077NBT/@@download/ENCFF077NBT.bed.gz
ENCFF813JWJ	large intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF813JWJ/@@download/ENCFF813JWJ.bed.gz
ENCFF374WRP	adrenal gland	DNase-seq	None	https://www.encodeproject.org/files/ENCFF374WRP/@@download/ENCFF374WRP.bed.gz
ENCFF531YLQ	left kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF531YLQ/@@download/ENCFF531YLQ.bed.gz
ENCFF265CKF	muscle of arm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF265CKF/@@download/ENCFF265CKF.bed.gz
ENCFF448ZKW	right lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF448ZKW/@@download/ENCFF448ZKW.bed.gz
ENCFF600DTC	mammary epithelial cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF600DTC/@@download/ENCFF600DTC.bed.gz
ENCFF811CIQ	foreskin keratinocyte	DNase-seq	None	https://www.encodeproject.org/files/ENCFF811CIQ/@@download/ENCFF811CIQ.bed.gz
ENCFF619DCX	spinal cord	DNase-seq	None	https://www.encodeproject.org/files/ENCFF619DCX/@@download/ENCFF619DCX.bed.gz
ENCFF199AJC	iPS DF 19.11	DNase-seq	None	https://www.encodeproject.org/files/ENCFF199AJC/@@download/ENCFF199AJC.bed.gz
ENCFF755QDM	brain	DNase-seq	None	https://www.encodeproject.org/files/ENCFF755QDM/@@download/ENCFF755QDM.bed.gz
ENCFF272RMN	renal pelvis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF272RMN/@@download/ENCFF272RMN.bed.gz
ENCFF392XYY	renal pelvis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF392XYY/@@download/ENCFF392XYY.bed.gz
ENCFF065SSZ	right lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF065SSZ/@@download/ENCFF065SSZ.bed.gz
ENCFF501PXO	right lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF501PXO/@@download/ENCFF501PXO.bed.gz
ENCFF296XIB	left lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF296XIB/@@download/ENCFF296XIB.bed.gz
ENCFF375UBL	left lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF375UBL/@@download/ENCFF375UBL.bed.gz
ENCFF500XRA	muscle of leg	DNase-seq	None	https://www.encodeproject.org/files/ENCFF500XRA/@@download/ENCFF500XRA.bed.gz
ENCFF585WSJ	muscle of trunk	DNase-seq	None	https://www.encodeproject.org/files/ENCFF585WSJ/@@download/ENCFF585WSJ.bed.gz
ENCFF037JUZ	renal pelvis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF037JUZ/@@download/ENCFF037JUZ.bed.gz
ENCFF738IOC	hindlimb muscle	DNase-seq	None	https://www.encodeproject.org/files/ENCFF738IOC/@@download/ENCFF738IOC.bed.gz
ENCFF938LUA	left renal cortex interstitium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF938LUA/@@download/ENCFF938LUA.bed.gz
ENCFF446CFP	testis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF446CFP/@@download/ENCFF446CFP.bed.gz
ENCFF762HSP	large intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF762HSP/@@download/ENCFF762HSP.bed.gz
ENCFF299STS	left lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF299STS/@@download/ENCFF299STS.bed.gz
ENCFF407RMN	muscle of back	DNase-seq	None	https://www.encodeproject.org/files/ENCFF407RMN/@@download/ENCFF407RMN.bed.gz
ENCFF866WQO	adrenal gland	DNase-seq	None	https://www.encodeproject.org/files/ENCFF866WQO/@@download/ENCFF866WQO.bed.gz
ENCFF691MJO	left renal pelvis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF691MJO/@@download/ENCFF691MJO.bed.gz
ENCFF355WMJ	right renal pelvis	DNase-seq	None	https://www.encodeproject.org/files/ENCFF355WMJ/@@download/ENCFF355WMJ.bed.gz
ENCFF534JLS	psoas muscle	DNase-seq	None	https://www.encodeproject.org/files/ENCFF534JLS/@@download/ENCFF534JLS.bed.gz
ENCFF695LNO	small intestine	DNase-seq	None	https://www.encodeproject.org/files/ENCFF695LNO/@@download/ENCFF695LNO.bed.gz
ENCFF018HAH	endothelial cell of umbilical vein	DNase-seq	None	https://www.encodeproject.org/files/ENCFF018HAH/@@download/ENCFF018HAH.bed.gz
ENCFF147KNW	heart left ventricle	DNase-seq	None	https://www.encodeproject.org/files/ENCFF147KNW/@@download/ENCFF147KNW.bed.gz
ENCFF869OJP	myotube	DNase-seq	None	https://www.encodeproject.org/files/ENCFF869OJP/@@download/ENCFF869OJP.bed.gz
ENCFF186DVN	myotube	DNase-seq	None	https://www.encodeproject.org/files/ENCFF186DVN/@@download/ENCFF186DVN.bed.gz
ENCFF273NAJ	myotube	DNase-seq	None	https://www.encodeproject.org/files/ENCFF273NAJ/@@download/ENCFF273NAJ.bed.gz
ENCFF303SFZ	myotube	DNase-seq	None	https://www.encodeproject.org/files/ENCFF303SFZ/@@download/ENCFF303SFZ.bed.gz
ENCFF954NAG	epithelial cell of proximal tubule	DNase-seq	None	https://www.encodeproject.org/files/ENCFF954NAG/@@download/ENCFF954NAG.bed.gz
ENCFF474DSN	epithelial cell of proximal tubule	DNase-seq	None	https://www.encodeproject.org/files/ENCFF474DSN/@@download/ENCFF474DSN.bed.gz
ENCFF543CWJ	epithelial cell of proximal tubule	DNase-seq	None	https://www.encodeproject.org/files/ENCFF543CWJ/@@download/ENCFF543CWJ.bed.gz
ENCFF960GYE	epithelial cell of proximal tubule	DNase-seq	None	https://www.encodeproject.org/files/ENCFF960GYE/@@download/ENCFF960GYE.bed.gz
ENCFF514TNF	MCF-7	DNase-seq	None	https://www.encodeproject.org/files/ENCFF514TNF/@@download/ENCFF514TNF.bed.gz
ENCFF733EZV	MCF-7	DNase-seq	None	https://www.encodeproject.org/files/ENCFF733EZV/@@download/ENCFF733EZV.bed.gz
ENCFF534NFH	MCF-7	DNase-seq	None	https://www.encodeproject.org/files/ENCFF534NFH/@@download/ENCFF534NFH.bed.gz
ENCFF272AWC	MCF-7	DNase-seq	None	https://www.encodeproject.org/files/ENCFF272AWC/@@download/ENCFF272AWC.bed.gz
ENCFF556FZT	olfactory neurosphere cell line	DNase-seq	None	https://www.encodeproject.org/files/ENCFF556FZT/@@download/ENCFF556FZT.bed.gz
ENCFF478QZI	HTR-8/SVneo	DNase-seq	None	https://www.encodeproject.org/files/ENCFF478QZI/@@download/ENCFF478QZI.bed.gz
ENCFF621XOE	stomach	DNase-seq	None	https://www.encodeproject.org/files/ENCFF621XOE/@@download/ENCFF621XOE.bed.gz
ENCFF974KRN	cardiac mesoderm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF974KRN/@@download/ENCFF974KRN.bed.gz
ENCFF259DDX	cardiac mesoderm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF259DDX/@@download/ENCFF259DDX.bed.gz
ENCFF957HBU	cardiac mesoderm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF957HBU/@@download/ENCFF957HBU.bed.gz
ENCFF471IVR	cardiac mesoderm	DNase-seq	None	https://www.encodeproject.org/files/ENCFF471IVR/@@download/ENCFF471IVR.bed.gz
ENCFF705VVQ	esophagus muscularis mucosa	DNase-seq	None	https://www.encodeproject.org/files/ENCFF705VVQ/@@download/ENCFF705VVQ.bed.gz
ENCFF288URL	HepG2	DNase-seq	None	https://www.encodeproject.org/files/ENCFF288URL/@@download/ENCFF288URL.bed.gz
ENCFF953XAB	hepatocyte	DNase-seq	None	https://www.encodeproject.org/files/ENCFF953XAB/@@download/ENCFF953XAB.bed.gz
ENCFF776NMW	superior temporal gyrus	DNase-seq	None	https://www.encodeproject.org/files/ENCFF776NMW/@@download/ENCFF776NMW.bed.gz
ENCFF518ZBO	superior temporal gyrus	DNase-seq	None	https://www.encodeproject.org/files/ENCFF518ZBO/@@download/ENCFF518ZBO.bed.gz
ENCFF689QYS	hematopoietic multipotent progenitor cell	DNase-seq	erythropoietin, interleukin-3, hydrocortisone succinate, kit ligand	https://www.encodeproject.org/files/ENCFF689QYS/@@download/ENCFF689QYS.bed.gz
ENCFF407IBA	hematopoietic multipotent progenitor cell	DNase-seq	erythropoietin, interleukin-3, hydrocortisone succinate, kit ligand	https://www.encodeproject.org/files/ENCFF407IBA/@@download/ENCFF407IBA.bed.gz
ENCFF694DCR	hematopoietic multipotent progenitor cell	DNase-seq	erythropoietin, interleukin-3, hydrocortisone succinate, kit ligand	https://www.encodeproject.org/files/ENCFF694DCR/@@download/ENCFF694DCR.bed.gz
ENCFF799ERX	hematopoietic multipotent progenitor cell	DNase-seq	erythropoietin, interleukin-3, hydrocortisone succinate, kit ligand	https://www.encodeproject.org/files/ENCFF799ERX/@@download/ENCFF799ERX.bed.gz
ENCFF856YHV	hematopoietic multipotent progenitor cell	DNase-seq	erythropoietin, interleukin-3, hydrocortisone succinate, kit ligand	https://www.encodeproject.org/files/ENCFF856YHV/@@download/ENCFF856YHV.bed.gz
ENCFF270WND	hematopoietic multipotent progenitor cell	DNase-seq	erythropoietin, interleukin-3, hydrocortisone succinate, kit ligand	https://www.encodeproject.org/files/ENCFF270WND/@@download/ENCFF270WND.bed.gz
ENCFF061OWE	hematopoietic multipotent progenitor cell	DNase-seq	erythropoietin, interleukin-3, hydrocortisone succinate, kit ligand	https://www.encodeproject.org/files/ENCFF061OWE/@@download/ENCFF061OWE.bed.gz
ENCFF599XAW	hematopoietic multipotent progenitor cell	DNase-seq	erythropoietin, interleukin-3, hydrocortisone succinate, kit ligand	https://www.encodeproject.org/files/ENCFF599XAW/@@download/ENCFF599XAW.bed.gz
ENCFF215RQP	hematopoietic multipotent progenitor cell	DNase-seq	erythropoietin, interleukin-3, hydrocortisone succinate, kit ligand	https://www.encodeproject.org/files/ENCFF215RQP/@@download/ENCFF215RQP.bed.gz
ENCFF895JGL	hematopoietic multipotent progenitor cell	DNase-seq	erythropoietin, interleukin-3, hydrocortisone succinate, kit ligand	https://www.encodeproject.org/files/ENCFF895JGL/@@download/ENCFF895JGL.bed.gz
ENCFF776HQD	hematopoietic multipotent progenitor cell	DNase-seq	erythropoietin, interleukin-3, hydrocortisone succinate, kit ligand	https://www.encodeproject.org/files/ENCFF776HQD/@@download/ENCFF776HQD.bed.gz
ENCFF906YBQ	hematopoietic multipotent progenitor cell	DNase-seq	erythropoietin, interleukin-3, hydrocortisone succinate, kit ligand	https://www.encodeproject.org/files/ENCFF906YBQ/@@download/ENCFF906YBQ.bed.gz
ENCFF909VZN	T-helper 1 cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF909VZN/@@download/ENCFF909VZN.bed.gz
ENCFF415CSY	T-helper 1 cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF415CSY/@@download/ENCFF415CSY.bed.gz
ENCFF598XPI	NCI-H460	DNase-seq	None	https://www.encodeproject.org/files/ENCFF598XPI/@@download/ENCFF598XPI.bed.gz
ENCFF673HAD	NCI-H460	DNase-seq	None	https://www.encodeproject.org/files/ENCFF673HAD/@@download/ENCFF673HAD.bed.gz
ENCFF713SVK	SK-MEL-5	DNase-seq	None	https://www.encodeproject.org/files/ENCFF713SVK/@@download/ENCFF713SVK.bed.gz
ENCFF175DIJ	SK-MEL-5	DNase-seq	None	https://www.encodeproject.org/files/ENCFF175DIJ/@@download/ENCFF175DIJ.bed.gz
ENCFF060OQR	bronchial epithelial cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF060OQR/@@download/ENCFF060OQR.bed.gz
ENCFF062NOL	bronchial epithelial cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF062NOL/@@download/ENCFF062NOL.bed.gz
ENCFF953EHW	bronchial epithelial cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF953EHW/@@download/ENCFF953EHW.bed.gz
ENCFF944CUY	bronchial epithelial cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF944CUY/@@download/ENCFF944CUY.bed.gz
ENCFF841WOE	NT2/D1	DNase-seq	None	https://www.encodeproject.org/files/ENCFF841WOE/@@download/ENCFF841WOE.bed.gz
ENCFF220KQG	NT2/D1	DNase-seq	None	https://www.encodeproject.org/files/ENCFF220KQG/@@download/ENCFF220KQG.bed.gz
ENCFF269XWA	NT2/D1	DNase-seq	None	https://www.encodeproject.org/files/ENCFF269XWA/@@download/ENCFF269XWA.bed.gz
ENCFF017UHD	NT2/D1	DNase-seq	None	https://www.encodeproject.org/files/ENCFF017UHD/@@download/ENCFF017UHD.bed.gz
ENCFF954RRL	right atrium auricular region	DNase-seq	None	https://www.encodeproject.org/files/ENCFF954RRL/@@download/ENCFF954RRL.bed.gz
ENCFF748IEQ	K562	DNase-seq	sodium butyrate	https://www.encodeproject.org/files/ENCFF748IEQ/@@download/ENCFF748IEQ.bed.gz
ENCFF865ODM	esophagus squamous epithelium	DNase-seq	None	https://www.encodeproject.org/files/ENCFF865ODM/@@download/ENCFF865ODM.bed.gz
ENCFF523HID	Caco-2	DNase-seq	None	https://www.encodeproject.org/files/ENCFF523HID/@@download/ENCFF523HID.bed.gz
ENCFF946ZWI	Caco-2	DNase-seq	None	https://www.encodeproject.org/files/ENCFF946ZWI/@@download/ENCFF946ZWI.bed.gz
ENCFF814NYD	Caco-2	DNase-seq	None	https://www.encodeproject.org/files/ENCFF814NYD/@@download/ENCFF814NYD.bed.gz
ENCFF660WXD	Caco-2	DNase-seq	None	https://www.encodeproject.org/files/ENCFF660WXD/@@download/ENCFF660WXD.bed.gz
ENCFF603DCM	L1-S8R	DNase-seq	None	https://www.encodeproject.org/files/ENCFF603DCM/@@download/ENCFF603DCM.bed.gz
ENCFF654YOW	L1-S8R	DNase-seq	None	https://www.encodeproject.org/files/ENCFF654YOW/@@download/ENCFF654YOW.bed.gz
ENCFF279LSE	L1-S8R	DNase-seq	None	https://www.encodeproject.org/files/ENCFF279LSE/@@download/ENCFF279LSE.bed.gz
ENCFF274FGD	L1-S8R	DNase-seq	None	https://www.encodeproject.org/files/ENCFF274FGD/@@download/ENCFF274FGD.bed.gz
ENCFF199PXG	CD1c-positive myeloid dendritic cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF199PXG/@@download/ENCFF199PXG.bed.gz
ENCFF738DSM	CD1c-positive myeloid dendritic cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF738DSM/@@download/ENCFF738DSM.bed.gz
ENCFF006LOY	CD1c-positive myeloid dendritic cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF006LOY/@@download/ENCFF006LOY.bed.gz
ENCFF567KDR	CD1c-positive myeloid dendritic cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF567KDR/@@download/ENCFF567KDR.bed.gz
ENCFF396ZVD	H9	DNase-seq	None	https://www.encodeproject.org/files/ENCFF396ZVD/@@download/ENCFF396ZVD.bed.gz
ENCFF427VGJ	H9	DNase-seq	None	https://www.encodeproject.org/files/ENCFF427VGJ/@@download/ENCFF427VGJ.bed.gz
ENCFF003GSH	H9	DNase-seq	None	https://www.encodeproject.org/files/ENCFF003GSH/@@download/ENCFF003GSH.bed.gz
ENCFF328BGA	H9	DNase-seq	None	https://www.encodeproject.org/files/ENCFF328BGA/@@download/ENCFF328BGA.bed.gz
ENCFF803XYD	H1-hESC	DNase-seq	None	https://www.encodeproject.org/files/ENCFF803XYD/@@download/ENCFF803XYD.bed.gz
ENCFF252FHW	midbrain	DNase-seq	None	https://www.encodeproject.org/files/ENCFF252FHW/@@download/ENCFF252FHW.bed.gz
ENCFF350UOQ	midbrain	DNase-seq	None	https://www.encodeproject.org/files/ENCFF350UOQ/@@download/ENCFF350UOQ.bed.gz
ENCFF827XJW	midbrain	DNase-seq	None	https://www.encodeproject.org/files/ENCFF827XJW/@@download/ENCFF827XJW.bed.gz
ENCFF883SOX	midbrain	DNase-seq	None	https://www.encodeproject.org/files/ENCFF883SOX/@@download/ENCFF883SOX.bed.gz
ENCFF036RWK	HAP-1	DNase-seq	None	https://www.encodeproject.org/files/ENCFF036RWK/@@download/ENCFF036RWK.bed.gz
ENCFF804JVX	HAP-1	DNase-seq	None	https://www.encodeproject.org/files/ENCFF804JVX/@@download/ENCFF804JVX.bed.gz
ENCFF242JKD	HAP-1	DNase-seq	None	https://www.encodeproject.org/files/ENCFF242JKD/@@download/ENCFF242JKD.bed.gz
ENCFF954LVR	HAP-1	DNase-seq	None	https://www.encodeproject.org/files/ENCFF954LVR/@@download/ENCFF954LVR.bed.gz
ENCFF083XLR	caudate nucleus	DNase-seq	None	https://www.encodeproject.org/files/ENCFF083XLR/@@download/ENCFF083XLR.bed.gz
ENCFF765GQP	caudate nucleus	DNase-seq	None	https://www.encodeproject.org/files/ENCFF765GQP/@@download/ENCFF765GQP.bed.gz
ENCFF752PSN	H9	DNase-seq	None	https://www.encodeproject.org/files/ENCFF752PSN/@@download/ENCFF752PSN.bed.gz
ENCFF150GJA	GM12891	DNase-seq	None	https://www.encodeproject.org/files/ENCFF150GJA/@@download/ENCFF150GJA.bed.gz
ENCFF608NJK	T-helper 1 cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF608NJK/@@download/ENCFF608NJK.bed.gz
ENCFF661UHC	stomach	DNase-seq	None	https://www.encodeproject.org/files/ENCFF661UHC/@@download/ENCFF661UHC.bed.gz
ENCFF806RRC	tibial nerve	DNase-seq	None	https://www.encodeproject.org/files/ENCFF806RRC/@@download/ENCFF806RRC.bed.gz
ENCFF061IDT	umbilical cord	DNase-seq	None	https://www.encodeproject.org/files/ENCFF061IDT/@@download/ENCFF061IDT.bed.gz
ENCFF553OXP	umbilical cord	DNase-seq	None	https://www.encodeproject.org/files/ENCFF553OXP/@@download/ENCFF553OXP.bed.gz
ENCFF637LDR	GM18507	DNase-seq	None	https://www.encodeproject.org/files/ENCFF637LDR/@@download/ENCFF637LDR.bed.gz
ENCFF317XZM	SK-N-DZ	DNase-seq	None	https://www.encodeproject.org/files/ENCFF317XZM/@@download/ENCFF317XZM.bed.gz
ENCFF222GSK	SK-N-DZ	DNase-seq	None	https://www.encodeproject.org/files/ENCFF222GSK/@@download/ENCFF222GSK.bed.gz
ENCFF542AYB	SK-N-DZ	DNase-seq	None	https://www.encodeproject.org/files/ENCFF542AYB/@@download/ENCFF542AYB.bed.gz
ENCFF642NNO	SK-N-DZ	DNase-seq	None	https://www.encodeproject.org/files/ENCFF642NNO/@@download/ENCFF642NNO.bed.gz
ENCFF132MDE	kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF132MDE/@@download/ENCFF132MDE.bed.gz
ENCFF040GTO	kidney	DNase-seq	None	https://www.encodeproject.org/files/ENCFF040GTO/@@download/ENCFF040GTO.bed.gz
ENCFF984GBY	MCF-7	DNase-seq	None	https://www.encodeproject.org/files/ENCFF984GBY/@@download/ENCFF984GBY.bed.gz
ENCFF201XAY	medulloblastoma	DNase-seq	None	https://www.encodeproject.org/files/ENCFF201XAY/@@download/ENCFF201XAY.bed.gz
ENCFF880WZV	glomerular visceral epithelial cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF880WZV/@@download/ENCFF880WZV.bed.gz
ENCFF012RRK	glomerular visceral epithelial cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF012RRK/@@download/ENCFF012RRK.bed.gz
ENCFF980TFY	glomerular visceral epithelial cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF980TFY/@@download/ENCFF980TFY.bed.gz
ENCFF488NSQ	glomerular visceral epithelial cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF488NSQ/@@download/ENCFF488NSQ.bed.gz
ENCFF569TTJ	retina	DNase-seq	None	https://www.encodeproject.org/files/ENCFF569TTJ/@@download/ENCFF569TTJ.bed.gz
ENCFF309NRH	retina	DNase-seq	None	https://www.encodeproject.org/files/ENCFF309NRH/@@download/ENCFF309NRH.bed.gz
ENCFF202OJH	EL	DNase-seq	None	https://www.encodeproject.org/files/ENCFF202OJH/@@download/ENCFF202OJH.bed.gz
ENCFF417AAC	EL	DNase-seq	None	https://www.encodeproject.org/files/ENCFF417AAC/@@download/ENCFF417AAC.bed.gz
ENCFF384GCB	EL	DNase-seq	None	https://www.encodeproject.org/files/ENCFF384GCB/@@download/ENCFF384GCB.bed.gz
ENCFF335XYY	EL	DNase-seq	None	https://www.encodeproject.org/files/ENCFF335XYY/@@download/ENCFF335XYY.bed.gz
ENCFF207WAS	HEK293T	DNase-seq	None	https://www.encodeproject.org/files/ENCFF207WAS/@@download/ENCFF207WAS.bed.gz
ENCFF207AEZ	G401	DNase-seq	None	https://www.encodeproject.org/files/ENCFF207AEZ/@@download/ENCFF207AEZ.bed.gz
ENCFF957IHO	G401	DNase-seq	None	https://www.encodeproject.org/files/ENCFF957IHO/@@download/ENCFF957IHO.bed.gz
ENCFF772RJQ	G401	DNase-seq	None	https://www.encodeproject.org/files/ENCFF772RJQ/@@download/ENCFF772RJQ.bed.gz
ENCFF822GNN	G401	DNase-seq	None	https://www.encodeproject.org/files/ENCFF822GNN/@@download/ENCFF822GNN.bed.gz
ENCFF044WIN	H54	DNase-seq	None	https://www.encodeproject.org/files/ENCFF044WIN/@@download/ENCFF044WIN.bed.gz
ENCFF191ZZZ	MG63	DNase-seq	None	https://www.encodeproject.org/files/ENCFF191ZZZ/@@download/ENCFF191ZZZ.bed.gz
ENCFF471CPF	MG63	DNase-seq	None	https://www.encodeproject.org/files/ENCFF471CPF/@@download/ENCFF471CPF.bed.gz
ENCFF256OAK	MG63	DNase-seq	None	https://www.encodeproject.org/files/ENCFF256OAK/@@download/ENCFF256OAK.bed.gz
ENCFF405KIJ	MG63	DNase-seq	None	https://www.encodeproject.org/files/ENCFF405KIJ/@@download/ENCFF405KIJ.bed.gz
ENCFF089DBO	HepG2	DNase-seq	None	https://www.encodeproject.org/files/ENCFF089DBO/@@download/ENCFF089DBO.bed.gz
ENCFF486KGK	HepG2	DNase-seq	None	https://www.encodeproject.org/files/ENCFF486KGK/@@download/ENCFF486KGK.bed.gz
ENCFF992WWO	HepG2	DNase-seq	None	https://www.encodeproject.org/files/ENCFF992WWO/@@download/ENCFF992WWO.bed.gz
ENCFF360DSO	HepG2	DNase-seq	None	https://www.encodeproject.org/files/ENCFF360DSO/@@download/ENCFF360DSO.bed.gz
ENCFF675ZGP	lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF675ZGP/@@download/ENCFF675ZGP.bed.gz
ENCFF378WSR	lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF378WSR/@@download/ENCFF378WSR.bed.gz
ENCFF341RBP	lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF341RBP/@@download/ENCFF341RBP.bed.gz
ENCFF948PWG	lung	DNase-seq	None	https://www.encodeproject.org/files/ENCFF948PWG/@@download/ENCFF948PWG.bed.gz
ENCFF350ZQV	dermis blood vessel endothelial cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF350ZQV/@@download/ENCFF350ZQV.bed.gz
ENCFF469VYN	dermis blood vessel endothelial cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF469VYN/@@download/ENCFF469VYN.bed.gz
ENCFF876KVN	dermis blood vessel endothelial cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF876KVN/@@download/ENCFF876KVN.bed.gz
ENCFF025ZQZ	dermis blood vessel endothelial cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF025ZQZ/@@download/ENCFF025ZQZ.bed.gz
ENCFF013WHM	CMK	DNase-seq	None	https://www.encodeproject.org/files/ENCFF013WHM/@@download/ENCFF013WHM.bed.gz
ENCFF627XHX	CMK	DNase-seq	None	https://www.encodeproject.org/files/ENCFF627XHX/@@download/ENCFF627XHX.bed.gz
ENCFF774CBZ	retinal pigment epithelial cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF774CBZ/@@download/ENCFF774CBZ.bed.gz
ENCFF914SEH	retinal pigment epithelial cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF914SEH/@@download/ENCFF914SEH.bed.gz
ENCFF968ISS	retinal pigment epithelial cell	DNase-seq	None	https://www.encodeproject.org/files/ENCFF968ISS/@@download/ENCFF968ISS.bed.gz
